"refseq_mrna","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001207036","ENSG00000010030",25.1761522262565,-3.90798683967465,0.619392810362567,-6.30938360002448,2.80148970725367e-10,1.70233174738083e-08
"NM_001207037","ENSG00000010030",26.2209541240729,-3.97069279409931,0.614784330972557,-6.45867598449993,1.05622985431774e-10,6.75728031516069e-09
"NM_001207038","ENSG00000010030",23.6665630043518,-4.15706511582925,0.646930548172942,-6.42582905934744,1.31152721118252e-10,8.33252257514267e-09
"NM_001207039","ENSG00000010030",13.228760235018,-3.25144576799639,0.759440792177331,-4.28136834561445,1.85747603662289e-05,0.000551018722430206
"NM_001207040","ENSG00000010030",25.885987326999,-4.10844059598744,0.665598698018762,-6.17254902723927,6.71976806480656e-10,3.90818483316288e-08
"NM_001207041","ENSG00000010030",24.8411854291826,-4.04518819868002,0.671000972773313,-6.028587681417,1.65398656870334e-09,9.13383103990624e-08
"NM_001223","ENSG00000137752",256.664382263496,-2.01287696339661,0.343434852410357,-5.86101541316926,4.6004526851095e-09,2.43730545615637e-07
"NM_001242803","ENSG00000111801",926.057664459892,-1.94136201841243,0.245436100483001,-7.90984706240022,2.57705287708958e-15,2.52543733825076e-13
"NM_001242932","ENSG00000130592",8.63670907433877,3.92131496660237,1.39380987820022,2.8133786594093,0.00490238843834676,0.0651097864391004
"NM_001242932","ENSG00000288199",8.63670907433877,3.92131496660237,1.39380987820022,2.8133786594093,0.00490238843834676,0.0651097864391004
"NM_001243539","ENSG00000134470",286.029469811165,-1.74876276915033,0.24509315439843,-7.13509430095095,9.67208268346884e-13,7.62677459414833e-11
"NM_001243750","ENSG00000167799",15.7755565214085,1.54712659530766,0.555218729115319,2.78651730242032,0.00532777737718696,0.0695606266955249
"NM_001251","ENSG00000129226",258.497417816441,-2.00238880284127,0.274170785792538,-7.30343605739399,2.80510215262135e-13,2.31981948021786e-11
"NM_001256071","ENSG00000173821",27886.5379860723,-3.05554220370451,0.208046739577519,-14.6868064835306,7.83188178654336e-49,2.60348642878751e-46
"NM_001256339","ENSG00000167034",20.8157146449348,-1.55013070359895,0.576938390343637,-2.68682190255299,0.00721354035415917,0.0874783665194832
